,sen1,sen2,sen3,colalab,colasc
0,"Sure, you can video chat, but that still does not convey the real feeling behind a person's words.","Finally, computers are harmful because they lead to a very unhealthy lifestyle.","To begin with, the lack of fresh air obtained by sitting indoors all day is very bad for lungs and can lead to premature breathing problems.",LABEL_1,0.971259832382202
4,Almost every family has access to a computer.,"They have become a part of life and a way to be a part of life outside of your house, even if you have to stay at home.",Computers are a source of vast knowledge from millions of sources.,LABEL_1,0.9271833300590516
5,"Overall, computers have a positive effect.","on a rainy day, @NUM1 students will spend time on their computers.","out of those students, @PERCENT1 will be on sites such as A.I.M.(@CAPS1 @CAPS2 @CAPS3), @CAPS4, @CAPS5, or @ORGANIZATION2.",LABEL_1,0.7626751661300659
11,"Not only do computers teach skills and work, they are very fun too!","Between @CAPS6, twitter, email, googleBUZZ, mySpace, ooVoo, skype and gamesradar, there are lots of ways to talk to friends and meet new people.",On @CAPS6 I can have up to @NUM2 people talk to whenever I want!,LABEL_1,0.7026466727256775
12,their advancements push the world foreward to a better place.,"Computers can help people because they help teach handeye coordination, give people the bility to learn about faraway places and people, and allow people to talk online with others.",Think of a world with no computers or technologicall advancements.,LABEL_1,0.6791965961456299
15,There's a laptop that will fit in an envelope and a handheld touch screen computer that can almost fit in your pocket.,You can type papers and assignments so they're more ledgible.,Computers can even score tests.,LABEL_1,0.9610479474067688
16,"Before computers, so many things we do now would seem impossible.",But computers open up a realm of possibilities.,Typing is faster then hand-writing in some cases and papers can be saved electronically.,LABEL_1,0.9526026844978333
17,I would say that the computer is a good effect ion people when used this way.,"Lastly, computers help people receive news about what is happening around the world.","On the computer at @CAPS1 house, everytime I open the internet there is breaking news about the war in @LOCATION6 devistation on @LOCATION5, and much more.",LABEL_1,0.5621987581253052
19,This is why computers have a drastic negative affect on people.,"First of all, people send huge amounts of time on their computers and small amounts of time exercising.","In a recent poll done by @ORGANIZATION3 magazine, it stated that @PERCENT1 of people between the ages of @NUM1 and @NUM2 prefer to be online rather than outside exercising.",LABEL_1,0.715955913066864
21,"Secondly, computers interfere with family and friends.","I know from personal experience that parents hate it when their kids will miss family dinner or won't go out with their friends because they ""need"" to finish the next level on their game or they ""need"" to look something up on the internet.","Family and friends should be a very important thing in your life but unfortunatly, for most people it is not.",LABEL_1,0.9613603949546814
22,"Dear Readers, Computers have a large presence in the world today.",Most people in the @LOCATION1 have at least one and the number grows still.,These computers are bad for people.,LABEL_1,0.6440621614456177
23,Computers cost a lot of money.,"Between buying one, purchasing hardware and protection, and paying for maintanence, they are very expensive.","Dr. @PERSON2, a computer science expert, claims, ""The average computer costs @MONEY1.",LABEL_1,0.8368006944656372
24,Now we could be talking about @MONEY2 at the very least.,"With yearly maintanence costing about @MONEY3 per year, you can see how expensive these machines really are.""",@CAPS1 out of every ten computer owners in a recent survey stated that they had to service their computers within the last three months.,LABEL_1,0.6140075922012329
25,"But computers don't just cause money problems, there are health issues too.",Computers take a lot of time away from people.,"When a computer is used, the user doesn't move around or exercise.",LABEL_1,0.9602875113487244
27,"Computers are an excellent source of knowledge, but that could be a problem.","It is a quite easy to find something out, or research a topic using a computer.","Before computers became popular, people had to work and look for @CAPS4.",LABEL_1,0.6304211616516113
28,"In a study conducted by @ORGANIZATION1, @NUM1 out of @NUM2 people are spending more that @NUM3 hours a day on the computer.","""@CAPS1 computers became so popular here has been an increase in social problems, health issues and pollution,"" says @PERSON1.","The question is then, do computers really benefit society or do they have a negative affect on people?",LABEL_1,0.5048943758010864
29,"When asked how he did @CAPS5, he said he had been playing computer games since he was @NUM2 years old.",These games also make you more intelligent.,The @ORGANIZATION1's @DATE2 study reports that brains were @PERCENT1 more active after use of computers.,LABEL_1,0.7277153730392456
30,"Computers provide easy interaction without breakups, they make it easier to learn, and if you are smart then they are safe.","Without computers, who knows where our society would be?","To begin, computers allow people to have conversations with others...that are halfway across the world!",LABEL_1,0.5018185377120972
31,Computers rise perhaps the only thing that actually benefits our society.,You must understand how important this technology is to our society!,"But, int the long-run, the decision is yours is make.",LABEL_1,0.5842208862304688
